iter	Passed	Remaining
0	156	156489
1	157	78706
2	161	53625
3	162	40381
4	162	32404
5	163	27106
6	166	23557
7	166	20697
8	168	18520
9	169	16755
10	169	15282
11	171	14093
12	172	13114
13	173	12219
14	174	11437
15	174	10752
16	175	10159
17	178	9715
18	179	9262
19	180	8822
20	180	8420
21	181	8053
22	181	7718
23	182	7418
24	183	7167
25	184	6908
26	185	6671
27	186	6461
28	186	6251
29	187	6052
30	187	5867
31	188	5694
32	188	5531
33	189	5378
34	189	5234
35	191	5121
36	193	5025
37	193	4907
38	194	4799
39	195	4688
40	195	4582
41	196	4490
42	198	4412
43	198	4322
44	199	4235
45	200	4162
46	201	4081
47	201	4004
48	202	3932
49	203	3861
50	205	3830
51	206	3771
52	207	3710
53	208	3650
54	209	3605
55	211	3563
56	212	3511
57	213	3461
58	214	3414
59	214	3367
60	215	3322
61	216	3274
62	217	3228
63	217	3182
64	219	3153
65	222	3153
66	223	3112
67	224	3074
68	225	3040
69	225	3001
70	226	2963
71	227	2927
72	227	2891
73	228	2854
74	228	2819
75	229	2785
76	229	2751
77	229	2718
78	230	2686
79	230	2654
80	231	2623
81	231	2594
82	231	2562
83	232	2534
84	233	2516
85	235	2505
86	236	2483
87	237	2460
88	238	2438
89	239	2416
90	239	2392
91	239	2368
92	240	2344
93	240	2321
94	241	2299
95	241	2276
96	242	2254
97	242	2233
98	243	2212
99	243	2191
100	243	2171
101	244	2152
102	245	2134
103	245	2115
104	246	2097
105	246	2079
106	246	2061
107	247	2046
108	249	2037
109	250	2023
110	251	2011
111	252	2002
112	253	1987
113	253	1972
114	254	1958
115	255	1944
116	255	1928
117	256	1913
118	256	1900
119	257	1888
120	257	1873
121	258	1859
122	258	1845
123	259	1831
124	259	1818
125	260	1806
126	260	1792
127	261	1779
128	261	1766
129	262	1754
130	264	1757
131	265	1746
132	266	1734
133	266	1722
134	267	1711
135	267	1699
136	267	1688
137	268	1676
138	269	1669
139	270	1660
140	271	1651
141	271	1640
142	272	1630
143	272	1621
144	273	1610
145	273	1600
146	274	1590
147	274	1580
148	275	1570
149	275	1561
150	275	1551
151	276	1543
152	277	1533
153	279	1536
154	280	1530
155	281	1521
156	281	1513
157	282	1504
158	283	1500
159	284	1493
160	284	1484
161	285	1475
162	285	1467
163	286	1459
164	287	1453
165	287	1445
166	288	1437
167	288	1429
168	289	1421
169	289	1414
170	290	1406
171	290	1398
172	291	1391
173	291	1383
174	291	1376
175	294	1380
176	295	1375
177	296	1368
178	296	1361
179	297	1354
180	297	1347
181	299	1344
182	299	1338
183	300	1331
184	300	1325
185	301	1320
186	302	1313
187	302	1307
188	303	1300
189	303	1294
190	304	1287
191	304	1281
192	304	1275
193	305	1268
194	305	1262
195	306	1256
196	307	1254
197	309	1253
198	310	1248
199	310	1243
200	311	1237
201	311	1231
202	312	1225
203	312	1220
204	314	1219
205	314	1213
206	315	1208
207	316	1203
208	316	1198
209	317	1193
210	317	1188
211	318	1182
212	318	1177
213	319	1172
214	319	1167
215	320	1163
216	321	1161
217	323	1161
218	324	1157
219	325	1153
220	325	1148
221	326	1143
222	326	1138
223	327	1135
224	328	1131
225	329	1127
226	329	1122
227	330	1118
228	331	1114
229	331	1110
230	332	1106
231	332	1101
232	333	1098
233	334	1094
234	334	1089
235	335	1084
236	335	1080
237	336	1078
238	338	1077
239	339	1075
240	340	1070
241	340	1066
242	341	1062
243	341	1058
244	341	1053
245	342	1050
246	343	1048
247	344	1044
248	345	1040
249	345	1036
250	346	1033
251	346	1029
252	347	1025
253	347	1021
254	348	1018
255	348	1014
256	349	1010
257	353	1016
258	354	1014
259	355	1010
260	358	1015
261	360	1014
262	361	1014
263	362	1010
264	363	1007
265	363	1003
266	364	1000
267	365	997
268	369	1003
269	370	1000
270	370	997
271	372	996
272	373	993
273	373	990
274	374	987
275	376	987
276	377	984
277	377	980
278	378	977
279	379	974
280	379	971
281	380	968
282	384	974
283	385	971
284	386	968
285	386	965
286	388	965
287	389	963
288	390	960
289	390	956
290	391	954
291	392	951
292	393	948
293	393	945
294	394	942
295	395	939
296	399	944
297	399	941
298	400	939
299	401	936
300	403	937
301	404	934
302	404	931
303	405	928
304	406	926
305	407	923
306	407	920
307	408	917
308	408	914
309	409	910
310	409	907
311	410	904
312	411	902
313	413	902
314	414	900
315	414	897
316	415	894
317	415	891
318	416	889
319	417	887
320	418	884
321	418	881
322	419	879
323	420	876
324	420	873
325	421	870
326	421	867
327	422	864
328	422	861
329	423	858
330	423	855
331	423	853
332	424	850
333	427	852
334	428	850
335	429	848
336	429	845
337	431	844
338	431	842
339	432	839
340	433	836
341	433	834
342	434	831
343	434	829
344	435	826
345	435	823
346	436	820
347	436	818
348	437	815
349	437	812
350	438	810
351	438	807
352	439	804
353	440	804
354	441	802
355	443	802
356	444	800
357	444	797
358	445	795
359	446	793
360	447	791
361	447	788
362	447	786
363	448	783
364	449	781
365	449	779
366	450	776
367	450	774
368	451	771
369	451	768
370	452	766
371	452	763
372	452	761
373	453	758
374	453	756
375	455	756
376	456	755
377	457	753
378	458	750
379	458	748
380	459	746
381	459	743
382	460	741
383	461	739
384	461	737
385	462	735
386	462	733
387	463	731
388	464	728
389	464	726
390	464	724
391	465	721
392	465	719
393	466	717
394	466	715
395	467	712
396	467	710
397	468	708
398	469	707
399	470	705
400	471	704
401	471	701
402	472	699
403	473	697
404	473	695
405	474	694
406	475	692
407	475	690
408	476	688
409	476	686
410	477	684
411	477	681
412	478	679
413	478	677
414	479	675
415	479	673
416	480	671
417	480	669
418	481	667
419	481	665
420	482	662
421	482	660
422	482	658
423	484	657
424	484	656
425	486	654
426	486	652
427	487	650
428	487	648
429	488	646
430	488	645
431	489	643
432	489	640
433	489	638
434	490	637
435	491	635
436	491	633
437	492	631
438	492	629
439	492	627
440	493	625
441	493	623
442	494	621
443	494	619
444	495	617
445	495	615
446	495	613
447	496	611
448	496	609
449	499	610
450	501	610
451	502	608
452	502	606
453	503	605
454	504	604
455	504	602
456	505	600
457	505	598
458	506	596
459	506	594
460	507	592
461	507	591
462	508	589
463	508	587
464	508	585
465	509	583
466	509	581
467	510	580
468	510	578
469	511	576
470	511	574
471	512	573
472	514	572
473	514	571
474	515	569
475	515	567
476	516	566
477	516	564
478	517	562
479	517	560
480	518	559
481	518	557
482	519	556
483	519	554
484	520	552
485	521	551
486	521	549
487	522	547
488	522	546
489	523	544
490	523	542
491	523	541
492	524	539
493	524	537
494	525	535
495	525	534
496	526	532
497	526	530
498	527	529
499	528	528
500	529	527
501	530	526
502	531	524
503	531	523
504	532	521
505	532	519
506	533	518
507	533	516
508	533	515
509	534	513
510	534	511
511	535	510
512	535	508
513	536	506
514	536	505
515	536	503
516	537	502
517	537	500
518	538	498
519	538	497
520	539	495
521	539	494
522	540	492
523	540	490
524	540	489
525	541	487
526	541	486
527	545	487
528	546	486
529	546	485
530	547	483
531	548	482
532	548	481
533	549	479
534	550	478
535	550	476
536	551	475
537	551	473
538	552	472
539	553	471
540	554	470
541	554	468
542	555	467
543	555	465
544	556	464
545	556	462
546	560	463
547	561	462
548	561	461
549	562	460
550	563	458
551	563	457
552	564	456
553	565	454
554	565	453
555	566	452
556	566	450
557	567	449
558	567	447
559	567	446
560	568	444
561	568	443
562	569	441
563	569	440
564	570	439
565	570	437
566	571	436
567	571	434
568	573	434
569	574	433
570	575	432
571	575	430
572	576	429
573	576	427
574	577	426
575	577	425
576	578	423
577	578	422
578	578	420
579	579	419
580	579	418
581	580	416
582	581	415
583	581	414
584	581	412
585	582	411
586	582	410
587	583	408
588	583	407
589	584	405
590	584	404
591	584	403
592	585	401
593	585	400
594	586	399
595	586	397
596	587	396
597	588	395
598	589	394
599	590	393
600	590	392
601	590	390
602	591	389
603	591	388
604	592	386
605	592	385
606	593	384
607	593	382
608	594	381
609	595	380
610	595	379
611	596	378
612	596	376
613	597	375
614	597	374
615	598	372
616	598	371
617	598	370
618	599	368
619	599	367
620	600	366
621	600	365
622	601	363
623	601	362
624	602	361
625	603	360
626	604	359
627	604	358
628	605	356
629	605	355
630	605	354
631	606	353
632	606	351
633	607	350
634	607	349
635	608	348
636	608	346
637	609	345
638	609	344
639	610	343
640	610	342
641	611	340
642	611	339
643	612	338
644	612	337
645	612	335
646	613	334
647	613	333
648	614	332
649	614	331
650	615	329
651	615	328
652	616	327
653	616	326
654	618	325
655	618	324
656	619	323
657	619	322
658	620	320
659	620	319
660	621	318
661	621	317
662	622	316
663	622	315
664	623	314
665	623	312
666	624	311
667	624	310
668	625	309
669	625	308
670	626	306
671	626	305
672	626	304
673	627	303
674	627	302
675	628	301
676	628	299
677	629	298
678	629	297
679	629	296
680	630	295
681	630	294
682	631	293
683	632	292
684	632	291
685	633	289
686	633	288
687	634	287
688	634	286
689	635	285
690	635	284
691	636	283
692	636	282
693	637	280
694	637	279
695	638	278
696	638	277
697	638	276
698	639	275
699	639	274
700	640	273
701	640	271
702	641	270
703	641	269
704	641	268
705	642	267
706	642	266
707	643	265
708	643	264
709	644	263
710	644	261
711	644	260
712	645	259
713	645	258
714	646	257
715	647	256
716	648	255
717	648	254
718	649	253
719	649	252
720	650	251
721	650	250
722	651	249
723	651	248
724	651	247
725	652	246
726	652	245
727	653	244
728	653	243
729	654	242
730	654	240
731	655	239
732	656	238
733	656	237
734	656	236
735	657	235
736	657	234
737	658	233
738	658	232
739	659	231
740	659	230
741	660	229
742	660	228
743	660	227
744	661	226
745	662	225
746	663	224
747	663	223
748	664	222
749	665	221
750	665	220
751	666	219
752	666	218
753	667	217
754	667	216
755	668	215
756	668	214
757	669	213
758	669	212
759	670	211
760	670	210
761	670	209
762	671	208
763	671	207
764	672	206
765	672	205
766	673	204
767	673	203
768	673	202
769	674	201
770	674	200
771	675	199
772	675	198
773	677	197
774	678	197
775	679	196
776	680	195
777	680	194
778	681	193
779	681	192
780	682	191
781	682	190
782	683	189
783	683	188
784	684	187
785	684	186
786	685	185
787	685	184
788	685	183
789	686	182
790	686	181
791	687	180
792	687	179
793	688	178
794	688	177
795	689	176
796	689	175
797	689	174
798	690	173
799	690	172
800	692	171
801	693	171
802	694	170
803	694	169
804	695	168
805	695	167
806	696	166
807	696	165
808	697	164
809	697	163
810	697	162
811	698	161
812	698	160
813	699	159
814	699	158
815	700	157
816	700	156
817	700	155
818	701	155
819	701	154
820	702	153
821	702	152
822	703	151
823	703	150
824	704	149
825	704	148
826	704	147
827	705	146
828	708	146
829	708	145
830	709	144
831	709	143
832	709	142
833	710	141
834	710	140
835	711	139
836	711	138
837	712	137
838	712	136
839	713	135
840	713	134
841	713	133
842	714	133
843	714	132
844	715	131
845	715	130
846	716	129
847	717	128
848	717	127
849	718	126
850	718	125
851	719	124
852	719	123
853	720	123
854	720	122
855	721	121
856	722	120
857	722	119
858	723	118
859	723	117
860	724	116
861	724	115
862	724	115
863	725	114
864	725	113
865	726	112
866	726	111
867	727	110
868	727	109
869	728	108
870	728	107
871	729	107
872	729	106
873	730	105
874	730	104
875	731	103
876	731	102
877	732	101
878	732	100
879	733	100
880	733	99
881	734	98
882	734	97
883	735	96
884	735	95
885	736	94
886	737	93
887	737	93
888	738	92
889	738	91
890	739	90
891	739	89
892	740	88
893	740	87
894	741	86
895	741	86
896	742	85
897	742	84
898	742	83
899	743	82
900	743	81
901	744	80
902	744	79
903	745	79
904	745	78
905	746	77
906	746	76
907	747	75
908	747	74
909	748	74
910	748	73
911	749	72
912	749	71
913	750	70
914	751	69
915	752	69
916	753	68
917	753	67
918	754	66
919	754	65
920	755	64
921	755	63
922	756	63
923	756	62
924	757	61
925	757	60
926	758	59
927	758	58
928	759	58
929	759	57
930	759	56
931	760	55
932	760	54
933	761	53
934	762	52
935	762	52
936	762	51
937	763	50
938	763	49
939	764	48
940	764	47
941	765	47
942	766	46
943	767	45
944	767	44
945	768	43
946	768	43
947	769	42
948	769	41
949	770	40
950	770	39
951	771	38
952	771	38
953	771	37
954	772	36
955	772	35
956	773	34
957	773	33
958	774	33
959	774	32
960	775	31
961	776	30
962	776	29
963	777	29
964	777	28
965	778	27
966	778	26
967	778	25
968	779	24
969	779	24
970	781	23
971	781	22
972	782	21
973	782	20
974	783	20
975	783	19
976	784	18
977	784	17
978	785	16
979	785	16
980	786	15
981	786	14
982	787	13
983	787	12
984	788	12
985	788	11
986	788	10
987	789	9
988	790	8
989	790	7
990	790	7
991	791	6
992	791	5
993	792	4
994	792	3
995	793	3
996	793	2
997	794	1
998	794	0
999	796	0
